draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
1,4,Peter Warrick,WR,23,180,192,Florida St.,41.0,188.0,4.6,4.0,207.0,3517.0,17.0,32.0,4.58,35.8,15.0,121.0,6.92,4.19
1,5,Jamal Lewis,RB,21,180,240,Tennessee,487.0,2677.0,5.5,17.0,39.0,475.0,12.2,4.0,4.58,34.7,23.0,119.0,7.03,4.25
1,7,Thomas Jones,RB,22,178,220,Virginia,809.0,3998.0,4.9,37.0,71.0,571.0,8.0,4.0,4.45,34.7,20.0,119.0,7.03,4.25
1,8,Plaxico Burress,WR,23,196,226,Michigan St.,0.0,0.0,0.0,0.0,131.0,2155.0,16.5,20.0,4.59,33.0,15.0,115.0,6.92,4.19
1,10,Travis Taylor,WR,21,185,210,Florida,4.0,25.0,6.3,0.0,72.0,1150.0,16.0,15.0,4.43,37.0,15.0,118.0,7.15,4.19
1,11,Ron Dayne,RB,22,178,250,Wisconsin,1220.0,7125.0,5.8,71.0,31.0,304.0,9.8,0.0,4.65,34.7,20.0,119.0,7.03,4.25
1,14,Bubba Franks,TE,22,198,263,Miami (FL),0.0,0.0,0.0,0.0,77.0,1038.0,13.5,12.0,4.85,33.7,21.0,116.0,7.14,4.33
1,19,Shaun Alexander,RB,23,180,225,Alabama,727.0,3565.0,4.9,41.0,62.0,798.0,12.9,8.0,4.58,34.7,20.0,119.0,7.03,4.25
1,27,Anthony Becht,TE,23,196,272,West Virginia,0.0,0.0,0.0,0.0,83.0,1178.0,14.2,11.0,4.78,33.5,21.0,123.0,6.94,4.08
1,29,R. Jay Soward,WR,22,180,178,USC,27.0,340.0,12.6,3.0,161.0,2672.0,16.6,23.0,4.34,35.0,15.0,124.0,6.92,4.19
1,31,Trung Canidate,RB,23,180,205,Arizona,558.0,3626.0,6.5,25.0,42.0,468.0,11.1,1.0,4.41,34.7,18.0,119.0,7.03,4.25
2,32,Dennis Northcutt,WR,22,180,175,Arizona,34.0,382.0,11.2,2.0,217.0,3186.0,14.7,24.0,4.43,37.5,15.0,123.0,6.96,4.04
2,36,Todd Pinkston,WR,23,190,180,Southern Miss,0.0,0.0,0.0,0.0,149.0,2366.0,15.9,22.0,4.45,35.8,15.0,121.0,6.92,4.19
2,47,Jerry Porter,WR,22,188,220,West Virginia,6.0,52.0,8.7,0.0,28.0,591.0,21.1,7.0,4.48,35.8,15.0,121.0,6.92,4.19
3,63,Travis Prentice,RB,23,180,221,Miami (OH),1138.0,5596.0,4.9,73.0,54.0,522.0,9.7,5.0,4.5,37.0,23.0,115.0,6.92,4.4
3,66,Ron Dugans,WR,23,188,205,Florida St.,0.0,0.0,0.0,0.0,105.0,1520.0,14.5,7.0,4.58,35.8,15.0,117.0,6.92,4.19
3,68,Erron Kinney,TE,23,196,275,Florida,0.0,0.0,0.0,0.0,39.0,507.0,13.0,5.0,4.9,33.7,21.0,116.0,7.14,4.33
3,69,Dez White,WR,21,185,215,Georgia Tech,11.0,67.0,6.1,0.0,90.0,1833.0,20.4,14.0,4.62,37.5,15.0,124.0,6.91,4.09
3,70,Chris Cole,WR,22,183,195,Texas A&M,4.0,45.0,11.3,0.0,85.0,1363.0,16.0,8.0,4.37,37.5,15.0,125.0,6.76,4.09
3,76,J.R. Redmond,RB,22,180,215,Arizona St.,612.0,3223.0,5.3,32.0,61.0,677.0,11.1,4.0,4.48,32.5,20.0,121.0,7.03,4.25
3,78,Laveranues Coles,WR,22,180,193,Florida St.,35.0,260.0,7.4,1.0,62.0,1064.0,17.2,7.0,4.41,34.0,15.0,115.0,6.89,4.39
3,79,JaJuan Dawson,WR,22,185,197,Tulane,1.0,3.0,3.0,0.0,240.0,3131.0,13.0,31.0,4.55,34.0,15.0,117.0,6.96,4.16
3,81,Reuben Droughns,RB,22,180,207,Oregon,389.0,2058.0,5.3,18.0,20.0,207.0,10.4,3.0,4.66,30.0,13.0,115.0,7.34,4.41
3,88,Doug Chapman,RB,23,178,213,Marshall,618.0,3011.0,4.9,40.0,67.0,708.0,10.6,5.0,4.56,38.5,16.0,128.0,6.84,4.2
4,97,Curtis Keaton,RB,23,178,220,James Madison,88.0,404.0,4.6,3.0,0.0,0.0,0.0,0.0,4.41,41.5,23.0,131.0,6.82,3.93
4,99,Gari Scott,WR,22,183,191,Michigan St.,1.0,-8.0,-8.0,0.0,134.0,2095.0,15.6,18.0,4.59,33.5,15.0,119.0,6.92,4.19
4,103,Danny Farmer,WR,23,190,217,UCLA,3.0,40.0,13.3,0.0,159.0,3020.0,19.0,19.0,4.58,35.8,15.0,121.0,6.92,4.19
4,110,Aaron Shea,TE,23,190,255,Michigan,27.0,104.0,3.9,0.0,58.0,508.0,8.8,5.0,4.81,37.5,21.0,114.0,6.72,4.3
4,111,Trevor Gaylor,WR,22,190,195,Miami (OH),7.0,47.0,6.7,1.0,128.0,2131.0,16.6,20.0,4.56,37.5,15.0,121.0,7.03,4.29
4,115,Frank Moreau,RB,23,183,223,Louisville,499.0,2599.0,5.2,27.0,54.0,369.0,6.8,0.0,4.57,36.0,23.0,117.0,7.03,4.25
5,141,Dave Stachelski,TE,23,190,250,Boise St.,0.0,0.0,0.0,0.0,35.0,473.0,13.5,6.0,4.78,38.0,24.0,115.0,6.84,4.14
5,143,Windrell Hayes,WR,23,180,198,USC,6.0,23.0,3.8,0.0,176.0,2443.0,13.9,15.0,4.5,35.8,15.0,121.0,7.33,4.18
5,144,Michael Wiley,RB,22,180,200,Ohio St.,509.0,2951.0,5.8,27.0,56.0,630.0,11.3,5.0,4.5,34.7,20.0,119.0,7.03,4.25
5,156,Sammy Morris,RB,23,183,220,Texas Tech,169.0,788.0,4.7,7.0,36.0,607.0,16.9,2.0,4.65,37.5,23.0,117.0,7.05,4.21
5,157,James Whalen,TE,22,188,244,Kentucky,0.0,0.0,0.0,0.0,120.0,1324.0,11.0,13.0,4.78,31.0,21.0,110.0,7.42,4.22
5,158,Austin Wheatley,TE,22,190,254,Iowa,0.0,0.0,0.0,0.0,25.0,348.0,13.9,1.0,4.66,32.5,21.0,121.0,6.97,4.18
5,164,Jay Tant,TE,22,190,254,Northwestern,0.0,0.0,0.0,0.0,59.0,645.0,10.9,2.0,4.75,33.7,31.0,116.0,7.14,4.33
5,165,Troy Walters,WR,23,170,172,Stanford,6.0,5.0,0.8,0.0,244.0,3986.0,16.3,26.0,4.55,32.5,15.0,106.0,6.61,3.84
5,166,Chad Morton,RB,23,173,203,USC,517.0,2511.0,4.9,24.0,38.0,256.0,6.7,1.0,4.5,36.0,18.0,121.0,7.03,4.25
6,175,James Williams,WR,22,178,186,Marshall,2.0,-12.0,-6.0,0.0,73.0,1471.0,20.2,17.0,4.59,36.0,15.0,123.0,7.22,4.16
7,213,Mike Green,RB,24,183,249,Houston,243.0,1273.0,5.2,11.0,9.0,114.0,12.7,0.0,4.78,28.5,25.0,108.0,7.08,4.34
7,227,Mondriel Fulcher,TE,23,190,250,Miami (FL),4.0,10.0,2.5,0.0,47.0,656.0,14.0,4.0,4.85,27.0,18.0,116.0,7.46,4.52
7,242,Charles Lee,WR,22,190,227,Central Florida,1.0,2.0,2.0,0.0,162.0,2249.0,13.9,14.0,4.56,35.5,15.0,125.0,7.3,4.25
7,243,Shyrone Stith,RB,22,173,206,Virginia Tech,459.0,2360.0,5.1,21.0,13.0,116.0,8.9,0.0,4.6,35.0,13.0,111.0,7.14,4.14
7,252,Rondell Mealey,RB,23,183,224,LSU,453.0,2238.0,4.9,29.0,33.0,302.0,9.2,4.0,4.69,33.0,20.0,120.0,6.89,4.15
1,8,David Terrell,WR,22,190,215,Michigan,8.0,108.0,13.5,1.0,137.0,2005.0,14.6,19.0,4.43,35.8,15.0,121.0,6.92,4.19
1,9,Koren Robinson,WR,21,185,205,North Carolina St.,28.0,110.0,3.9,0.0,110.0,1914.0,17.4,15.0,4.61,35.8,15.0,121.0,6.92,4.19
1,15,Rod Gardner,WR,23,188,213,Clemson,5.0,0.0,0.0,0.0,159.0,2404.0,15.1,12.0,4.48,35.8,15.0,121.0,6.92,4.19
1,16,Santana Moss,WR,22,178,185,Miami (FL),12.0,277.0,23.1,3.0,143.0,2547.0,17.8,19.0,4.31,35.8,15.0,121.0,6.92,4.19
1,23,Deuce McAllister,RB,22,185,232,Mississippi,633.0,3181.0,5.0,38.0,66.0,671.0,10.2,3.0,4.41,34.7,20.0,119.0,7.03,4.25
1,25,Freddie Mitchell,WR,22,180,184,UCLA,9.0,67.0,7.4,0.0,110.0,1955.0,17.8,9.0,4.46,39.5,15.0,120.0,6.95,4.06
1,27,Michael Bennett,RB,23,175,211,Wisconsin,367.0,1979.0,5.4,15.0,5.0,52.0,10.4,0.0,4.38,39.5,13.0,130.0,7.03,4.25
1,30,Reggie Wayne,WR,22,183,198,Miami (FL),2.0,15.0,7.5,0.0,173.0,2510.0,14.5,20.0,4.45,35.8,15.0,121.0,6.92,4.19
1,31,Todd Heap,TE,21,196,252,Arizona St.,1.0,2.0,2.0,0.0,115.0,1685.0,14.7,10.0,4.68,33.7,21.0,116.0,7.14,4.33
2,33,Quincy Morgan,WR,23,185,210,Kansas St.,3.0,11.0,3.7,0.0,106.0,2173.0,20.5,23.0,4.48,35.8,15.0,121.0,6.92,4.19
2,35,Alge Crumpler,TE,23,188,262,North Carolina,0.0,0.0,0.0,1.0,68.0,760.0,11.2,5.0,4.76,34.0,22.0,112.0,7.38,4.43
2,36,Chad Johnson,WR,23,185,192,Oregon St.,2.0,-5.0,-2.5,0.0,37.0,806.0,21.8,8.0,4.57,33.0,15.0,108.0,7.51,4.14
2,38,Anthony Thomas,RB,23,188,228,Michigan,846.0,4098.0,4.8,49.0,78.0,750.0,9.6,1.0,4.58,32.5,20.0,115.0,7.48,4.44
2,41,Robert Ferguson,WR,21,185,209,Texas A&M,0.0,0.0,0.0,0.0,58.0,885.0,15.3,6.0,4.48,36.5,15.0,120.0,7.24,4.07
2,49,LaMont Jordan,RB,22,178,230,Maryland,807.0,4147.0,5.1,36.0,76.0,737.0,9.7,1.0,4.57,34.7,24.0,119.0,7.03,4.25
2,52,Chris Chambers,WR,23,180,210,Wisconsin,2.0,17.0,8.5,0.0,127.0,2004.0,15.8,16.0,4.33,45.0,15.0,134.0,6.92,4.0
2,58,Travis Henry,RB,22,175,215,Tennessee,556.0,3078.0,5.5,26.0,20.0,99.0,5.0,0.0,4.61,34.7,23.0,119.0,7.03,4.25
3,65,James Jackson,RB,25,178,215,Miami (FL),541.0,2950.0,5.5,31.0,38.0,278.0,7.3,3.0,4.55,34.7,20.0,119.0,7.03,4.25
3,66,Sean Brewer,TE,23,193,255,San Jose St.,0.0,0.0,0.0,0.0,56.0,580.0,10.4,5.0,4.73,36.0,14.0,117.0,7.37,4.18
3,74,Steve Smith,WR,22,175,185,Utah,8.0,52.0,6.5,0.0,78.0,1603.0,20.6,12.0,4.41,38.5,15.0,121.0,7.44,4.25
3,77,Snoop Minnis,WR,24,185,172,Florida St.,2.0,6.0,3.0,0.0,115.0,2098.0,18.2,17.0,4.57,37.5,15.0,115.0,7.06,4.07
3,80,Kevan Barlow,RB,22,185,238,Pittsburgh,486.0,2324.0,4.8,20.0,36.0,508.0,14.1,4.0,4.56,34.7,20.0,119.0,7.03,4.25
3,85,Travis Minor,RB,22,178,205,Florida St.,664.0,3218.0,4.8,28.0,106.0,831.0,7.8,3.0,4.44,32.0,9.0,115.0,7.03,4.25
3,90,Shad Meier,TE,23,193,255,Kansas St.,1.0,1.0,1.0,0.0,18.0,227.0,12.6,1.0,4.85,34.0,20.0,113.0,7.14,4.15
4,100,Rudi Johnson,RB,21,178,220,Auburn,324.0,1567.0,4.8,13.0,9.0,70.0,7.8,0.0,4.57,37.5,24.0,119.0,7.32,4.22
4,108,George Layne,RB,22,180,250,TCU,98.0,480.0,4.9,8.0,13.0,230.0,17.7,2.0,4.59,32.0,20.0,115.0,7.08,4.19
4,119,Jabari Holloway,TE,22,188,260,Notre Dame,0.0,0.0,0.0,1.0,41.0,692.0,16.9,6.0,4.91,38.5,20.0,113.0,7.14,4.4
