draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
1,4,Peter Warrick,WR,23,180.0,192,Florida St.,41,188,4.6,4,207,3517,17.0,32,,,,,,,,4.58,,,,,
1,5,Jamal Lewis,RB,21,180.0,240,Tennessee,487,2677,5.5,17,39,475,12.2,4,,,,,,,,4.58,,23,,,
1,7,Thomas Jones,RB,22,178.0,220,Virginia,809,3998,4.9,37,71,571,8.0,4,,,,,,,,4.45,,,,,
1,8,Plaxico Burress,WR,23,196.0,226,Michigan St.,,,,,131,2155,16.5,20,,,,,,,,4.59,33.0,,115,,
1,10,Travis Taylor,WR,21,185.0,210,Florida,4,25,6.3,0,72,1150,16.0,15,,,,,,,,4.43,37.0,,118,7.15,
1,11,Ron Dayne,RB,22,178.0,250,Wisconsin,1220,7125,5.8,71,31,304,9.8,0,,,,,,,,4.65,,,,,
1,14,Bubba Franks,TE,22,198.0,263,Miami (FL),,,,,77,1038,13.5,12,,,,,,,,4.85,,,,,
1,15,Deltha O'Neal,DB,23,180.0,194,California,119,595,5.0,1,29,319,11.0,2,,,,,,,,4.60,,,,,
1,18,Chad Pennington,QB,24,190.0,225,Marshall,,,,,,,,,848,1334,63.6,11446,8.6,107,30,4.81,33.5,,111,7.12,4.16
1,19,Shaun Alexander,RB,23,180.0,225,Alabama,727,3565,4.9,41,62,798,12.9,8,,,,,,,,4.58,,,,,
1,20,Stockar McDougle,T,23,198.0,335,Oklahoma,1,2,2.0,0,,,,,,,,,,,,5.50,,24,,,
1,27,Anthony Becht,TE,23,196.0,272,West Virginia,,,,,83,1178,14.2,11,,,,,,,,4.78,33.5,,123,6.94,4.08
1,29,R. Jay Soward,WR,22,180.0,178,USC,27,340,12.6,3,161,2672,16.6,23,,,,,,,,4.34,35.0,,124,,
1,31,Trung Canidate,RB,23,180.0,205,Arizona,558,3626,6.5,25,42,468,11.1,1,,,,,,,,4.41,,18,,,
2,32,Dennis Northcutt,WR,22,180.0,175,Arizona,34,382,11.2,2,217,3186,14.7,24,,,,,,,,4.43,37.5,,123,6.96,4.04
2,36,Todd Pinkston,WR,23,190.0,180,Southern Miss,,,,,149,2366,15.9,22,,,,,,,,4.45,,,,,
2,40,Ian Gold,LB,22,183.0,223,Michigan,4,13,3.3,0,,,,,,,,,,,,4.56,33.0,21,115,6.97,4.19
2,47,Jerry Porter,WR,22,188.0,220,West Virginia,6,52,8.7,0,28,591,21.1,7,,,,,,,,4.48,,,,,
3,63,Travis Prentice,RB,23,180.0,221,Miami (OH),1138,5596,4.9,73,54,522,9.7,5,,,,,,,,4.50,37.0,23,115,6.92,4.40
3,66,Ron Dugans,WR,23,188.0,205,Florida St.,,,,,105,1520,14.5,7,,,,,,,,4.58,,,117,,
3,68,Erron Kinney,TE,23,196.0,275,Florida,,,,,39,507,13.0,5,,,,,,,,4.90,,,,,
3,69,Dez White,WR,21,185.0,215,Georgia Tech,11,67,6.1,0,90,1833,20.4,14,,,,,,,,4.62,37.5,,124,6.91,4.09
3,70,Chris Cole,WR,22,183.0,195,Texas A&M,4,45,11.3,0,85,1363,16.0,8,,,,,,,,4.37,37.5,,125,6.76,4.09
3,75,Chris Redman,QB,23,190.0,223,Louisville,,,,,,,,,1031,1679,61.4,12541,7.5,84,51,5.37,26.5,,98,7.80,4.78
3,76,J.R. Redmond,RB,22,180.0,215,Arizona St.,612,3223,5.3,32,61,677,11.1,4,,,,,,,,4.48,32.5,,121,,
3,78,Laveranues Coles,WR,22,180.0,193,Florida St.,35,260,7.4,1,62,1064,17.2,7,,,,,,,,4.41,34.0,,115,6.89,4.39
3,79,JaJuan Dawson,WR,22,185.0,197,Tulane,1,3,3.0,0,240,3131,13.0,31,,,,,,,,4.55,34.0,,117,6.96,4.16
3,81,Reuben Droughns,RB,22,180.0,207,Oregon,389,2058,5.3,18,20,207,10.4,3,,,,,,,,4.66,30.0,13,115,7.34,4.41
3,88,Doug Chapman,RB,23,178.0,213,Marshall,618,3011,4.9,40,67,708,10.6,5,,,,,,,,4.56,38.5,16,128,6.84,4.20
4,96,Terrelle Smith,FB,22,183.0,246,Arizona St.,22,126,5.7,1,11,95,8.6,0,,,,,,,,5.00,32.5,19,109,8.38,4.85
4,97,Curtis Keaton,RB,23,178.0,220,James Madison,88,404,4.6,3,,,,,,,,,,,,4.41,41.5,23,131,6.82,3.93
4,99,Gari Scott,WR,22,183.0,191,Michigan St.,1,-8,-8.0,0,134,2095,15.6,18,,,,,,,,4.59,33.5,,119,,
4,103,Danny Farmer,WR,23,190.0,217,UCLA,3,40,13.3,0,159,3020,19.0,19,,,,,,,,4.58,,,,,
4,110,Aaron Shea,TE,23,190.0,255,Michigan,27,104,3.9,0,58,508,8.8,5,,,,,,,,4.81,37.5,,114,6.72,4.30
